match_id,kickoff_utc,home,away,actual_h,actual_a,actual_outcome,model_name,lambda_h,lambda_a,p_home,p_draw,p_away,rps,nll,rmse_h,rmse_a,inference_run_id,cadence_mode
1489395,2026-06-21 19:00:00+00:00,Belgium,Iran,0,0,1,sarimax,1.832413168381996,1.0140603436754254,0.5655128221614327,0.2276632723233616,0.2068239055152057,0.1812904399607754,2.8464735120574214,1.832413168381996,1.0140603436754254,0f03466c09934ccea8e6890146369b72,frozen
1489395,2026-06-21 19:00:00+00:00,Belgium,Iran,0,0,1,xgboost,1.6055563688278198,0.8811763525009155,0.5442979065066557,0.2496443466386431,0.2060577468547011,0.1693600030331821,2.4867327213287354,1.6055563688278198,0.8811763525009155,0f03466c09934ccea8e6890146369b72,frozen
1489398,2026-06-21 22:00:00+00:00,Uruguay,Cape Verde,2,2,1,bayesian_poisson,1.6840537793374797,0.6634040009001699,0.6203921897106374,0.2362393273960527,0.14336848289331,0.2027204954705443,3.512086682961393,0.3159462206625203,1.33659599909983,8a63cbdcd2bc484cb1daa9053649de38,frozen
1489398,2026-06-21 22:00:00+00:00,Uruguay,Cape Verde,2,2,1,mean_rate_poisson,1.3240561110282048,1.3240561110282048,0.3694459101779029,0.2611081796441941,0.3694459101779029,0.1364902805471791,2.911607236986377,0.6759438889717952,0.6759438889717952,8a63cbdcd2bc484cb1daa9053649de38,frozen
1489398,2026-06-21 22:00:00+00:00,Uruguay,Cape Verde,2,2,1,negbin_glm,1.7105941317587934,0.6086057182085234,0.6414353420961688,0.2306864560017385,0.1278782019020925,0.2138960663058707,3.6249819915769654,0.2894058682412066,1.3913942817914766,8a63cbdcd2bc484cb1daa9053649de38,frozen
1489398,2026-06-21 22:00:00+00:00,Uruguay,Cape Verde,2,2,1,poisson_glm,1.6096959401752968,0.7685564708702655,0.5743746913901114,0.2481585244935341,0.1774667841163544,0.1807003727870432,3.338938637440063,0.3903040598247032,1.2314435291297343,8a63cbdcd2bc484cb1daa9053649de38,frozen
1489398,2026-06-21 22:00:00+00:00,Uruguay,Cape Verde,2,2,1,random_forest,1.6714246542341311,0.6979916511779672,0.6081139155177707,0.2389251977988149,0.1529608866834142,0.1965997835506653,3.447454242990663,0.3285753457658689,1.3020083488220329,8a63cbdcd2bc484cb1daa9053649de38,frozen
1489398,2026-06-21 22:00:00+00:00,Uruguay,Cape Verde,2,2,1,ridge,1.475075230375663,0.7404794049929934,0.5472797597303741,0.265019974478742,0.1877002657908839,0.1673732625942522,3.4253459281362466,0.5249247696243371,1.2595205950070063,8a63cbdcd2bc484cb1daa9053649de38,frozen
1489398,2026-06-21 22:00:00+00:00,Uruguay,Cape Verde,2,2,1,sarimax,1.6618720164080532,0.4762942887330135,0.6669991979643446,0.2313398414621318,0.1016609605735235,0.2276114404949052,3.9920100151672497,0.3381279835919468,1.5237057112669865,8a63cbdcd2bc484cb1daa9053649de38,frozen
1489398,2026-06-21 22:00:00+00:00,Uruguay,Cape Verde,2,2,1,xgboost,1.6014275550842283,0.633194088935852,0.6086716701320721,0.246383453398489,0.1449448764694387,0.1957451096180534,3.593081670866681,0.3985724449157717,1.366805911064148,8a63cbdcd2bc484cb1daa9053649de38,frozen
